empNum,month,year,grossSalary,totalAllowance,totalDeductions,netMonthlySalary
10001,5,2024,94500.00,4500.00,19635.40,74864.60
10002,5,2024,64500.00,4500.00,10760.50,53739.50
10003,5,2024,64500.00,4500.00,10760.50,53739.50
10004,5,2024,64500.00,4500.00,10760.50,53739.50
10005,5,2024,56170.00,3500.00,8845.54,47324.46
10006,5,2024,56170.00,3500.00,8845.54,47324.46
10007,5,2024,46075.00,3100.00,6312.72,39762.28
10008,5,2024,25000.00,2500.00,1493.40,23506.60
10009,5,2024,25000.00,2500.00,1493.40,23506.60
10010,5,2024,56170.00,3500.00,8845.54,47324.46
10011,5,2024,54325.00,3500.00,8363.53,45961.47
10012,5,2024,41575.00,3100.00,5137.09,36437.91
10013,5,2024,26500.00,2500.00,1865.40,24634.60
10014,5,2024,26500.00,2500.00,1865.40,24634.60
10015,5,2024,57000.00,3500.00,9062.38,47937.63
10016,5,2024,46075.00,3100.00,6312.72,39762.28
10017,5,2024,44950.00,3100.00,6018.81,38931.19
10018,5,2024,25000.00,2500.00,1493.40,23506.60
10019,5,2024,25000.00,2500.00,1493.40,23506.60
10020,5,2024,25750.00,2500.00,1688.40,24061.60
10021,5,2024,25750.00,2500.00,1688.40,24061.60
10022,5,2024,26500.00,2500.00,1865.40,24634.60
10023,5,2024,25000.00,2500.00,1493.40,23506.60
10024,5,2024,25000.00,2500.00,1493.40,23506.60
10025,5,2024,26500.00,2500.00,1865.40,24634.60
10026,5,2024,27250.00,2500.00,2060.40,25189.60
10027,5,2024,27250.00,2500.00,2060.40,25189.60
10028,5,2024,26500.00,2500.00,1865.40,24634.60
10029,5,2024,25000.00,2500.00,1493.40,23506.60
10030,5,2024,25000.00,2500.00,1493.40,23506.60
10031,5,2024,25000.00,2500.00,1493.40,23506.60
10032,5,2024,56170.00,3500.00,8845.54,47324.46
10033,5,2024,56170.00,3500.00,8845.54,47324.46
10034,5,2024,56170.00,3500.00,8845.54,47324.46
10001,5,2025,94500.00,4500.00,19635.40,74864.60
10002,5,2025,64500.00,4500.00,10760.50,53739.50
10003,5,2025,64500.00,4500.00,10760.50,53739.50
10004,5,2025,64500.00,4500.00,10760.50,53739.50
10005,5,2025,56170.00,3500.00,8845.54,47324.46
10006,5,2025,56170.00,3500.00,8845.54,47324.46
10007,5,2025,46075.00,3100.00,6312.72,39762.28
10008,5,2025,25000.00,2500.00,1493.40,23506.60
10009,5,2025,25000.00,2500.00,1493.40,23506.60
10010,5,2025,56170.00,3500.00,8845.54,47324.46
10011,5,2025,54325.00,3500.00,8363.53,45961.47
10012,5,2025,41575.00,3100.00,5137.09,36437.91
10013,5,2025,26500.00,2500.00,1865.40,24634.60
10014,5,2025,26500.00,2500.00,1865.40,24634.60
10015,5,2025,57000.00,3500.00,9062.38,47937.63
10016,5,2025,46075.00,3100.00,6312.72,39762.28
10017,5,2025,44950.00,3100.00,6018.81,38931.19
10018,5,2025,25000.00,2500.00,1493.40,23506.60
10019,5,2025,25000.00,2500.00,1493.40,23506.60
10020,5,2025,25750.00,2500.00,1688.40,24061.60
10021,5,2025,25750.00,2500.00,1688.40,24061.60
10022,5,2025,26500.00,2500.00,1865.40,24634.60
10023,5,2025,25000.00,2500.00,1493.40,23506.60
10024,5,2025,25000.00,2500.00,1493.40,23506.60
10025,5,2025,26500.00,2500.00,1865.40,24634.60
10026,5,2025,27250.00,2500.00,2060.40,25189.60
10027,5,2025,27250.00,2500.00,2060.40,25189.60
10028,5,2025,26500.00,2500.00,1865.40,24634.60
10029,5,2025,25000.00,2500.00,1493.40,23506.60
10030,5,2025,25000.00,2500.00,1493.40,23506.60
10031,5,2025,25000.00,2500.00,1493.40,23506.60
10032,5,2025,56170.00,3500.00,8845.54,47324.46
10033,5,2025,56170.00,3500.00,8845.54,47324.46
10034,5,2025,56170.00,3500.00,8845.54,47324.46
10001,2,2025,94500.00,4500.00,19635.40,74864.60
10002,2,2025,64500.00,4500.00,10760.50,53739.50
10003,2,2025,64500.00,4500.00,10760.50,53739.50
10004,2,2025,64500.00,4500.00,10760.50,53739.50
10005,2,2025,56170.00,3500.00,8845.54,47324.46
10006,2,2025,56170.00,3500.00,8845.54,47324.46
10007,2,2025,46075.00,3100.00,6312.72,39762.28
10008,2,2025,25000.00,2500.00,1493.40,23506.60
10009,2,2025,25000.00,2500.00,1493.40,23506.60
10010,2,2025,56170.00,3500.00,8845.54,47324.46
10011,2,2025,54325.00,3500.00,8363.53,45961.47
10012,2,2025,41575.00,3100.00,5137.09,36437.91
10013,2,2025,26500.00,2500.00,1865.40,24634.60
10014,2,2025,26500.00,2500.00,1865.40,24634.60
10015,2,2025,57000.00,3500.00,9062.38,47937.63
10016,2,2025,46075.00,3100.00,6312.72,39762.28
10017,2,2025,44950.00,3100.00,6018.81,38931.19
10018,2,2025,25000.00,2500.00,1493.40,23506.60
10019,2,2025,25000.00,2500.00,1493.40,23506.60
10020,2,2025,25750.00,2500.00,1688.40,24061.60
10021,2,2025,25750.00,2500.00,1688.40,24061.60
10022,2,2025,26500.00,2500.00,1865.40,24634.60
10023,2,2025,25000.00,2500.00,1493.40,23506.60
10024,2,2025,25000.00,2500.00,1493.40,23506.60
10025,2,2025,26500.00,2500.00,1865.40,24634.60
10026,2,2025,27250.00,2500.00,2060.40,25189.60
10027,2,2025,27250.00,2500.00,2060.40,25189.60
10028,2,2025,26500.00,2500.00,1865.40,24634.60
10029,2,2025,25000.00,2500.00,1493.40,23506.60
10030,2,2025,25000.00,2500.00,1493.40,23506.60
10031,2,2025,25000.00,2500.00,1493.40,23506.60
10032,2,2025,56170.00,3500.00,8845.54,47324.46
10033,2,2025,56170.00,3500.00,8845.54,47324.46
10034,2,2025,56170.00,3500.00,8845.54,47324.46
10001,6,2024,94500.00,4500.00,19635.40,74864.60
10002,6,2024,64500.00,4500.00,10760.50,53739.50
10003,6,2024,64500.00,4500.00,10760.50,53739.50
10004,6,2024,64500.00,4500.00,10760.50,53739.50
10005,6,2024,56170.00,3500.00,8845.54,47324.46
10006,6,2024,56170.00,3500.00,8845.54,47324.46
10007,6,2024,46075.00,3100.00,6312.72,39762.28
10008,6,2024,25000.00,2500.00,1493.40,23506.60
10009,6,2024,25000.00,2500.00,1493.40,23506.60
10010,6,2024,56170.00,3500.00,8845.54,47324.46
10011,6,2024,54325.00,3500.00,8363.53,45961.47
10012,6,2024,41575.00,3100.00,5137.09,36437.91
10013,6,2024,26500.00,2500.00,1865.40,24634.60
10014,6,2024,26500.00,2500.00,1865.40,24634.60
10015,6,2024,57000.00,3500.00,9062.38,47937.63
10016,6,2024,46075.00,3100.00,6312.72,39762.28
10017,6,2024,44950.00,3100.00,6018.81,38931.19
10018,6,2024,25000.00,2500.00,1493.40,23506.60
10019,6,2024,25000.00,2500.00,1493.40,23506.60
10020,6,2024,25750.00,2500.00,1688.40,24061.60
10021,6,2024,25750.00,2500.00,1688.40,24061.60
10022,6,2024,26500.00,2500.00,1865.40,24634.60
10023,6,2024,25000.00,2500.00,1493.40,23506.60
10024,6,2024,25000.00,2500.00,1493.40,23506.60
10025,6,2024,26500.00,2500.00,1865.40,24634.60
10026,6,2024,27250.00,2500.00,2060.40,25189.60
10027,6,2024,27250.00,2500.00,2060.40,25189.60
10028,6,2024,26500.00,2500.00,1865.40,24634.60
10029,6,2024,25000.00,2500.00,1493.40,23506.60
10030,6,2024,25000.00,2500.00,1493.40,23506.60
10031,6,2024,25000.00,2500.00,1493.40,23506.60
10032,6,2024,56170.00,3500.00,8845.54,47324.46
10033,6,2024,56170.00,3500.00,8845.54,47324.46
10034,6,2024,56170.00,3500.00,8845.54,47324.46
10001,7,2024,94500.00,4500.00,19635.40,74864.60
10002,7,2024,64500.00,4500.00,10760.50,53739.50
10003,7,2024,64500.00,4500.00,10760.50,53739.50
10004,7,2024,64500.00,4500.00,10760.50,53739.50
10005,7,2024,56170.00,3500.00,8845.54,47324.46
10006,7,2024,56170.00,3500.00,8845.54,47324.46
10007,7,2024,46075.00,3100.00,6312.72,39762.28
10008,7,2024,25000.00,2500.00,1493.40,23506.60
10009,7,2024,25000.00,2500.00,1493.40,23506.60
10010,7,2024,56170.00,3500.00,8845.54,47324.46
10011,7,2024,54325.00,3500.00,8363.53,45961.47
10012,7,2024,41575.00,3100.00,5137.09,36437.91
10013,7,2024,26500.00,2500.00,1865.40,24634.60
10014,7,2024,26500.00,2500.00,1865.40,24634.60
10015,7,2024,57000.00,3500.00,9062.38,47937.63
10016,7,2024,46075.00,3100.00,6312.72,39762.28
10017,7,2024,44950.00,3100.00,6018.81,38931.19
10018,7,2024,25000.00,2500.00,1493.40,23506.60
10019,7,2024,25000.00,2500.00,1493.40,23506.60
10020,7,2024,25750.00,2500.00,1688.40,24061.60
10021,7,2024,25750.00,2500.00,1688.40,24061.60
10022,7,2024,26500.00,2500.00,1865.40,24634.60
10023,7,2024,25000.00,2500.00,1493.40,23506.60
10024,7,2024,25000.00,2500.00,1493.40,23506.60
10025,7,2024,26500.00,2500.00,1865.40,24634.60
10026,7,2024,27250.00,2500.00,2060.40,25189.60
10027,7,2024,27250.00,2500.00,2060.40,25189.60
10028,7,2024,26500.00,2500.00,1865.40,24634.60
10029,7,2024,25000.00,2500.00,1493.40,23506.60
10030,7,2024,25000.00,2500.00,1493.40,23506.60
10031,7,2024,25000.00,2500.00,1493.40,23506.60
10032,7,2024,56170.00,3500.00,8845.54,47324.46
10033,7,2024,56170.00,3500.00,8845.54,47324.46
10034,7,2024,56170.00,3500.00,8845.54,47324.46
10001,8,2024,94500.00,4500.00,19635.40,74864.60
10002,8,2024,64500.00,4500.00,10760.50,53739.50
10003,8,2024,64500.00,4500.00,10760.50,53739.50
10004,8,2024,64500.00,4500.00,10760.50,53739.50
10005,8,2024,56170.00,3500.00,8845.54,47324.46
10006,8,2024,56170.00,3500.00,8845.54,47324.46
10007,8,2024,46075.00,3100.00,6312.72,39762.28
10008,8,2024,25000.00,2500.00,1493.40,23506.60
10009,8,2024,25000.00,2500.00,1493.40,23506.60
10010,8,2024,56170.00,3500.00,8845.54,47324.46
10011,8,2024,54325.00,3500.00,8363.53,45961.47
10012,8,2024,41575.00,3100.00,5137.09,36437.91
10013,8,2024,26500.00,2500.00,1865.40,24634.60
10014,8,2024,26500.00,2500.00,1865.40,24634.60
10015,8,2024,57000.00,3500.00,9062.38,47937.63
10016,8,2024,46075.00,3100.00,6312.72,39762.28
10017,8,2024,44950.00,3100.00,6018.81,38931.19
10018,8,2024,25000.00,2500.00,1493.40,23506.60
10019,8,2024,25000.00,2500.00,1493.40,23506.60
10020,8,2024,25750.00,2500.00,1688.40,24061.60
10021,8,2024,25750.00,2500.00,1688.40,24061.60
10022,8,2024,26500.00,2500.00,1865.40,24634.60
10023,8,2024,25000.00,2500.00,1493.40,23506.60
10024,8,2024,25000.00,2500.00,1493.40,23506.60
10025,8,2024,26500.00,2500.00,1865.40,24634.60
10026,8,2024,27250.00,2500.00,2060.40,25189.60
10027,8,2024,27250.00,2500.00,2060.40,25189.60
10028,8,2024,26500.00,2500.00,1865.40,24634.60
10029,8,2024,25000.00,2500.00,1493.40,23506.60
10030,8,2024,25000.00,2500.00,1493.40,23506.60
10031,8,2024,25000.00,2500.00,1493.40,23506.60
10032,8,2024,56170.00,3500.00,8845.54,47324.46
10033,8,2024,56170.00,3500.00,8845.54,47324.46
10034,8,2024,56170.00,3500.00,8845.54,47324.46
10001,4,2024,0.00,0.00,0.00,0.00
10002,4,2024,0.00,0.00,0.00,0.00
10003,4,2024,0.00,0.00,0.00,0.00
10004,4,2024,0.00,0.00,0.00,0.00
10005,4,2024,0.00,0.00,0.00,0.00
10006,4,2024,0.00,0.00,0.00,0.00
10007,4,2024,0.00,0.00,0.00,0.00
10008,4,2024,0.00,0.00,0.00,0.00
10009,4,2024,0.00,0.00,0.00,0.00
10010,4,2024,0.00,0.00,0.00,0.00
10011,4,2024,0.00,0.00,0.00,0.00
10012,4,2024,0.00,0.00,0.00,0.00
10013,4,2024,0.00,0.00,0.00,0.00
10014,4,2024,0.00,0.00,0.00,0.00
10015,4,2024,0.00,0.00,0.00,0.00
10016,4,2024,0.00,0.00,0.00,0.00
10017,4,2024,0.00,0.00,0.00,0.00
10018,4,2024,0.00,0.00,0.00,0.00
10019,4,2024,0.00,0.00,0.00,0.00
10020,4,2024,0.00,0.00,0.00,0.00
10021,4,2024,0.00,0.00,0.00,0.00
10022,4,2024,0.00,0.00,0.00,0.00
10023,4,2024,0.00,0.00,0.00,0.00
10024,4,2024,0.00,0.00,0.00,0.00
10025,4,2024,0.00,0.00,0.00,0.00
10026,4,2024,0.00,0.00,0.00,0.00
10027,4,2024,0.00,0.00,0.00,0.00
10028,4,2024,0.00,0.00,0.00,0.00
10029,4,2024,0.00,0.00,0.00,0.00
10030,4,2024,0.00,0.00,0.00,0.00
10031,4,2024,0.00,0.00,0.00,0.00
10032,4,2024,0.00,0.00,0.00,0.00
10033,4,2024,0.00,0.00,0.00,0.00
10034,4,2024,0.00,0.00,0.00,0.00
10001,1,2024,0.00,0.00,0.00,0.00
10002,1,2024,0.00,0.00,0.00,0.00
10003,1,2024,0.00,0.00,0.00,0.00
10004,1,2024,0.00,0.00,0.00,0.00
10005,1,2024,0.00,0.00,0.00,0.00
10006,1,2024,0.00,0.00,0.00,0.00
10007,1,2024,0.00,0.00,0.00,0.00
10008,1,2024,0.00,0.00,0.00,0.00
10009,1,2024,0.00,0.00,0.00,0.00
10010,1,2024,0.00,0.00,0.00,0.00
10011,1,2024,0.00,0.00,0.00,0.00
10012,1,2024,0.00,0.00,0.00,0.00
10013,1,2024,0.00,0.00,0.00,0.00
10014,1,2024,0.00,0.00,0.00,0.00
10015,1,2024,0.00,0.00,0.00,0.00
10016,1,2024,0.00,0.00,0.00,0.00
10017,1,2024,0.00,0.00,0.00,0.00
10018,1,2024,0.00,0.00,0.00,0.00
10019,1,2024,0.00,0.00,0.00,0.00
10020,1,2024,0.00,0.00,0.00,0.00
10021,1,2024,0.00,0.00,0.00,0.00
10022,1,2024,0.00,0.00,0.00,0.00
10023,1,2024,0.00,0.00,0.00,0.00
10024,1,2024,0.00,0.00,0.00,0.00
10025,1,2024,0.00,0.00,0.00,0.00
10026,1,2024,0.00,0.00,0.00,0.00
10027,1,2024,0.00,0.00,0.00,0.00
10028,1,2024,0.00,0.00,0.00,0.00
10029,1,2024,0.00,0.00,0.00,0.00
10030,1,2024,0.00,0.00,0.00,0.00
10031,1,2024,0.00,0.00,0.00,0.00
10032,1,2024,0.00,0.00,0.00,0.00
10033,1,2024,0.00,0.00,0.00,0.00
10034,1,2024,0.00,0.00,0.00,0.00
10001,1,2025,0.00,0.00,0.00,0.00
10002,1,2025,0.00,0.00,0.00,0.00
10003,1,2025,0.00,0.00,0.00,0.00
10004,1,2025,0.00,0.00,0.00,0.00
10005,1,2025,0.00,0.00,0.00,0.00
10006,1,2025,0.00,0.00,0.00,0.00
10007,1,2025,0.00,0.00,0.00,0.00
10008,1,2025,0.00,0.00,0.00,0.00
10009,1,2025,0.00,0.00,0.00,0.00
10010,1,2025,0.00,0.00,0.00,0.00
10011,1,2025,0.00,0.00,0.00,0.00
10012,1,2025,0.00,0.00,0.00,0.00
10013,1,2025,0.00,0.00,0.00,0.00
10014,1,2025,0.00,0.00,0.00,0.00
10015,1,2025,0.00,0.00,0.00,0.00
10016,1,2025,0.00,0.00,0.00,0.00
10017,1,2025,0.00,0.00,0.00,0.00
10018,1,2025,0.00,0.00,0.00,0.00
10019,1,2025,0.00,0.00,0.00,0.00
10020,1,2025,0.00,0.00,0.00,0.00
10021,1,2025,0.00,0.00,0.00,0.00
10022,1,2025,0.00,0.00,0.00,0.00
10023,1,2025,0.00,0.00,0.00,0.00
10024,1,2025,0.00,0.00,0.00,0.00
10025,1,2025,0.00,0.00,0.00,0.00
10026,1,2025,0.00,0.00,0.00,0.00
10027,1,2025,0.00,0.00,0.00,0.00
10028,1,2025,0.00,0.00,0.00,0.00
10029,1,2025,0.00,0.00,0.00,0.00
10030,1,2025,0.00,0.00,0.00,0.00
10031,1,2025,0.00,0.00,0.00,0.00
10032,1,2025,0.00,0.00,0.00,0.00
10033,1,2025,0.00,0.00,0.00,0.00
10034,1,2025,0.00,0.00,0.00,0.00
10001,3,2024,0.00,0.00,0.00,0.00
